,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
36,36,https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/10836356,Wallonie,Walloon Brabant,Jodoigne,HOUSE,HOUSE,373105.0,3.0,150.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,941,4,0,
37,37,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/10836353,Flanders,West Flanders,Izegem,HOUSE,HOUSE,670778.0,3.0,206.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,1147,4,0,
38,38,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/10836352,Flanders,West Flanders,Izegem,HOUSE,HOUSE,872640.0,5.0,335.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,1947,4,0,
39,39,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10836351,Flanders,West Flanders,Avelgem,HOUSE,HOUSE,490009.0,4.0,192.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,594,3,0,
40,40,https://www.immoweb.be/en/classified/house/for-sale/bekkevoort%20%28molenbeek-wersbeek%29/3461/10836348,Flanders,Flemish Brabant,Bekkevoort (Molenbeek-Wersbeek),HOUSE,HOUSE,499000.0,4.0,215.0,NOT_INSTALLED,0,0,1,14.0,1,8.0,1708,3,0,GOOD
41,41,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/10836341,Brussels,Brussels,Uccle,APARTMENT,FLAT_STUDIO,155000.0,1.0,40.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,2,0,AS_NEW
42,42,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10836338,Flanders,West Flanders,Roeselare,HOUSE,HOUSE,174000.0,3.0,143.0,INSTALLED,0,1,1,25.0,1,100.0,195,2,0,TO_BE_DONE_UP
43,43,https://www.immoweb.be/en/classified/house/for-sale/treignes/5670/10836337,Wallonie,Namur,Treignes,HOUSE,HOUSE,218000.0,6.0,150.0,HYPER_EQUIPPED,0,1,1,23.0,1,205.0,517,3,0,
44,44,https://www.immoweb.be/en/classified/apartment/for-sale/kontich/2550/10836332,Flanders,Antwerp,Kontich,APARTMENT,APARTMENT,229500.0,2.0,99.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,-1,1,0,AS_NEW
45,45,https://www.immoweb.be/en/classified/ground-floor/for-sale/molenbeek-saint-jean/1080/10836327,Brussels,Brussels,Molenbeek-Saint-Jean,APARTMENT,GROUND_FLOOR,345000.0,3.0,120.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,-1,1,0,AS_NEW
46,46,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10836326,Brussels,Brussels,Schaerbeek,APARTMENT,APARTMENT,234000.0,2.0,100.0,NOT_INSTALLED,1,0,1,0.0,0,0.0,-1,2,0,TO_BE_DONE_UP
47,47,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/10836323,Flanders,West Flanders,Roeselare,APARTMENT,APARTMENT,158000.0,1.0,80.0,HYPER_EQUIPPED,0,0,1,8.0,1,0.0,,2,0,AS_NEW
48,48,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10836317,Brussels,Brussels,Forest,APARTMENT,APARTMENT,398500.0,2.0,91.0,INSTALLED,0,0,1,12.0,0,0.0,-1,2,0,JUST_RENOVATED
49,49,https://www.immoweb.be/en/classified/house/for-sale/brecht/2960/10836315,Flanders,Antwerp,Brecht,HOUSE,HOUSE,599000.0,3.0,237.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,1125,1,1,GOOD
50,50,https://www.immoweb.be/en/classified/house/for-sale/jemelle/5580/10836309,Wallonie,Namur,Jemelle,HOUSE,HOUSE,65000.0,5.0,134.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,88,3,0,TO_RENOVATE
51,51,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/10836308,Flanders,East Flanders,Sint-Niklaas,HOUSE,HOUSE,845000.0,4.0,254.0,INSTALLED,0,0,1,0.0,0,0.0,3421,4,0,GOOD
52,52,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/10836307,Flanders,Antwerp,Bornem,HOUSE,HOUSE,289000.0,3.0,145.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,220,2,0,TO_BE_DONE_UP
53,53,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10836306,Brussels,Brussels,Forest,APARTMENT,APARTMENT,284000.0,2.0,113.0,NOT_INSTALLED,0,0,1,17.0,0,0.0,,1,0,
54,54,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10708234,Brussels,Brussels,Brussels City,APARTMENT,APARTMENT,389000.0,2.0,100.0,USA_HYPER_EQUIPPED,0,0,1,7.0,0,0.0,-1,1,0,AS_NEW
55,55,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10836305,Flanders,West Flanders,Knokke-Heist,APARTMENT,APARTMENT,845000.0,3.0,86.0,USA_HYPER_EQUIPPED,0,0,1,4.0,0,0.0,,2,0,JUST_RENOVATED
56,56,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10836304,Flanders,West Flanders,Knokke-Heist,APARTMENT,APARTMENT,845000.0,3.0,82.0,USA_HYPER_EQUIPPED,0,0,1,4.0,0,0.0,,2,0,JUST_RENOVATED
57,57,https://www.immoweb.be/en/classified/apartment/for-sale/virton/6760/10836302,Wallonie,Luxembourg,Virton,APARTMENT,APARTMENT,285000.0,2.0,86.0,NOT_INSTALLED,0,0,1,6.0,0,0.0,-1,1,0,AS_NEW
